Subscription Id,Subscription Name,Resource Type,Resource Name,Category,Impact,Description,Resource Id,Recommendation Id
xxxxxxxx-xxxx-xxxx-xxxx-xxxxx1fa1cef,Debo,MICROSOFT.WEB/SITES,app-wtunmw4mafbha,HighAvailability,High,Enable Health check for App Service,/subscriptions/xxxxxxxx-xxxx-xxxx-xxxx-xxxxx1fa1cef/resourceGroups/prod-rg/providers/Microsoft.Web/sites/app-wtunmw4mafbha,72063b96-92fa-4b74-9457-b84b662155f9
xxxxxxxx-xxxx-xxxx-xxxx-xxxxx1fa1cef,Debo,MICROSOFT.WEB/SITES,plan-wtunmw4mafbha,HighAvailability,High,Set minimum instance count for App Service to 2,/subscriptions/xxxxxxxx-xxxx-xxxx-xxxx-xxxxx1fa1cef/resourceGroups/prod-rg/providers/Microsoft.Web/serverFarms/plan-wtunmw4mafbha,e987dcce-fd2c-4683-8abf-f1a34bbad737
xxxxxxxx-xxxx-xxxx-xxxx-xxxxx1fa1cef,Debo,MICROSOFT.WEB/SERVERFARMS,plan-wtunmw4mafbha,HighAvailability,High,Use zone-supported App Service Plan,/subscriptions/xxxxxxxx-xxxx-xxxx-xxxx-xxxxx1fa1cef/resourcegroups/prod-rg/providers/microsoft.web/serverfarms/plan-wtunmw4mafbha,fac3022a-eda5-44b9-b54d-cb500d1d01dd
xxxxxxxx-xxxx-xxxx-xxxx-xxxxx1fa1cef,Debo,MICROSOFT.CACHE/REDIS,debo-redis,HighAvailability,Medium,Migrate to Azure Managed Redis from Azure Cache for Redis,/subscriptions/xxxxxxxx-xxxx-xxxx-xxxx-xxxxx1fa1cef/resourceGroups/debo-east2-rg/providers/Microsoft.Cache/Redis/debo-redis,f3aded79-f9ff-4ce4-99e3-2ffcf11161a4
xxxxxxxx-xxxx-xxxx-xxxx-xxxxx1fa1cef,Debo,MICROSOFT.APP/MANAGEDENVIRONMENTS,debo-env,HighAvailability,High,Enable zone redundancy for the managed environment,/subscriptions/xxxxxxxx-xxxx-xxxx-xxxx-xxxxx1fa1cef/resourcegroups/debo-east2-rg/providers/microsoft.app/managedenvironments/debo-env,b7e00078-7703-4a0a-afac-1b403803ba62
xxxxxxxx-xxxx-xxxx-xxxx-xxxxx1fa1cef,Debo,MICROSOFT.CACHE/REDIS,debo-redis,HighAvailability,High,Enable zone redundancy for Redis,/subscriptions/xxxxxxxx-xxxx-xxxx-xxxx-xxxxx1fa1cef/resourcegroups/debo-east2-rg/providers/microsoft.cache/redis/debo-redis,1a0a309c-54f0-4cb0-a839-2cee5912ba62
