Validated Using,Source,Category,Impact,Resource Type,Recommendation,Recommendation Id,Subscription Id,Subscription Name,Resource Group,Resource Name,Resource Id,Param1,Param2,Param3,Param4,Param5,Learn
Azure Resource Graph,APRL,HighAvailability,High,Microsoft.ApiManagement/service,Migrate API Management services to Premium SKU to support Availability Zones,baf3bfc0-32a2-4c0c-926d-c9bf0b49808e,xxxxxxxx-xxxx-xxxx-xxxx-xxxxx0fd7766,TC labs,rg-mcp-dev,apim-mcp-tc-dev,/subscriptions/xxxxxxxx-xxxx-xxxx-xxxx-xxxxx0fd7766/resourceGroups/rg-mcp-dev/providers/Microsoft.ApiManagement/service/apim-mcp-tc-dev,SKU: BasicV2,,,,,https://learn.microsoft.com/azure/api-management/upgrade-and-scale#change-your-api-management-service-tier
Azure Resource Graph,AZQR,Security,High,Microsoft.ApiManagement/service,APIM should have private endpoints enabled,apim-004,xxxxxxxx-xxxx-xxxx-xxxx-xxxxx0fd7766,TC labs,rg-mcp-dev,apim-mcp-tc-dev,/subscriptions/xxxxxxxx-xxxx-xxxx-xxxx-xxxxx0fd7766/resourceGroups/rg-mcp-dev/providers/Microsoft.ApiManagement/service/apim-mcp-tc-dev,,,,,,https://learn.microsoft.com/azure/api-management/private-endpoint
Azure Resource Graph,AZQR,MonitoringAndAlerting,Low,microsoft.apimanagement/service,APIM should have diagnostic settings enabled,apim-001,xxxxxxxx-xxxx-xxxx-xxxx-xxxxx0fd7766,,rg-mcp-dev,apim-mcp-tc-dev,/subscriptions/xxxxxxxx-xxxx-xxxx-xxxx-xxxxx0fd7766/resourceGroups/rg-mcp-dev/providers/Microsoft.ApiManagement/service/apim-mcp-tc-dev,,,,,,https://learn.microsoft.com/en-us/azure/api-management/api-management-howto-use-azure-monitor#resource-logs
Azure Resource Graph,AZQR,MonitoringAndAlerting,Low,microsoft.keyvault/vaults,Key Vault should have diagnostic settings enabled,kv-001,xxxxxxxx-xxxx-xxxx-xxxx-xxxxx0fd7766,,rg-mcp-dev,kv-mcp-tc-dev,/subscriptions/xxxxxxxx-xxxx-xxxx-xxxx-xxxxx0fd7766/resourceGroups/rg-mcp-dev/providers/Microsoft.KeyVault/vaults/kv-mcp-tc-dev,,,,,,https://learn.microsoft.com/en-us/azure/key-vault/general/monitor-key-vault
